date,open,high,low,close,volume
4/6/2020 12:35,112.58,112.645,112.3278,112.52,34720
4/6/2020 12:30,112.89,112.91,112.5884,112.61,26610
4/6/2020 12:25,112.57,112.935,112.57,112.92,43117
4/6/2020 12:20,112.55,112.595,112.36,112.55,51279
4/6/2020 12:15,112.3203,112.61,112.178,112.55,46477
4/6/2020 12:10,112.36,112.4,112.08,112.31,35726
4/6/2020 12:05,112.44,112.54,112.3373,112.35,29466
4/6/2020 12:00,112.765,112.79,112.355,112.41,25768
4/6/2020 11:55,112.8,112.815,112.64,112.78,31675
4/6/2020 11:50,112.7298,113.12,112.58,112.77,63750
4/6/2020 11:45,112.602,112.76,112.51,112.72,28754
4/6/2020 11:40,112.575,112.66,112.425,112.61,32611
4/6/2020 11:35,112.58,112.7001,112.4,112.605,32924
4/6/2020 11:30,112.25,112.57,112.25,112.56,112580
4/6/2020 11:25,112.73,112.77,112.1801,112.235,91224
4/6/2020 11:20,112.78,113.04,112.58,112.7,106797
4/6/2020 11:15,112.27,112.92,112.27,112.79,94356
4/6/2020 11:10,112.1571,112.43,112.1571,112.23,44246
4/6/2020 11:05,112.0943,112.175,111.73,112.1171,46118
4/6/2020 11:00,112.18,112.36,111.96,112.11,38238
4/6/2020 10:55,112.03,112.2,111.9,112.165,40543
4/6/2020 10:50,112,112.24,111.8792,112.06,34107
4/6/2020 10:45,112.55,112.65,111.94,111.94,42035
4/6/2020 10:40,112.53,112.69,112.41,112.53,61156
4/6/2020 10:35,112.46,112.75,112.12,112.485,59097
4/6/2020 10:30,112.53,112.71,112.4,112.43,36607
4/6/2020 10:25,112.87,113,112.42,112.525,50200
4/6/2020 10:20,112.75,112.89,112.525,112.846,51597
4/6/2020 10:15,112.81,112.95,112.46,112.7282,49769
4/6/2020 10:10,113,113.1325,112.625,112.83,48935
4/6/2020 10:05,112.9,113.62,112.88,113.03,84412
4/6/2020 10:00,113.54,113.59,112.68,112.94,93067
4/6/2020 9:55,111.74,113.73,111.6475,113.58,124206
4/6/2020 9:50,111.14,111.9,111.13,111.59,66558
4/6/2020 9:45,110.59,112.15,110.5022,111.3,104229
4/6/2020 9:40,110.3,110.685,110.13,110.59,58995
4/6/2020 9:35,110.35,110.73,110.16,110.35,189115
4/3/2020 16:00,106.76,106.8,105.91,106.4,213635
4/3/2020 15:55,106.4,106.98,106.18,106.731,124153
4/3/2020 15:50,105.2427,106.43,105.23,106.29,90291
4/3/2020 15:45,105.76,105.78,105.22,105.23,41789
4/3/2020 15:40,105.94,106.155,105.65,105.705,58722
4/3/2020 15:35,106.09,106.36,105.845,105.92,59702
4/3/2020 15:30,105.87,106.18,105.82,106.09,29953
4/3/2020 15:25,106.245,106.3135,105.83,105.9,29319
4/3/2020 15:20,105.92,106.48,105.835,106.25,37872
4/3/2020 15:15,105.7389,106.13,105.66,105.945,25598
4/3/2020 15:10,106.03,106.08,105.68,105.8001,30061
4/3/2020 15:05,106.23,106.54,105.94,105.98,36133
4/3/2020 15:00,106.12,106.29,106.09,106.2056,25458
4/3/2020 14:55,105.8,106.44,105.8,106.1,32181
4/3/2020 14:50,105.4964,105.86,105.4964,105.815,26064
4/3/2020 14:45,105.91,106.04,105.47,105.4853,37274
4/3/2020 14:40,106.0699,106.12,105.9,105.92,54086
4/3/2020 14:35,105.97,106.06,105.87,106.05,49522
4/3/2020 14:30,105.487,106.01,105.43,105.9616,24581
4/3/2020 14:25,105.43,105.6,105.28,105.46,34732
4/3/2020 14:20,105.19,105.41,105.1,105.3392,23499
4/3/2020 14:15,105.08,105.15,104.99,105.15,19474
